# conduction velocity
# CRN98_con
# Cell pre-paced 10 times @ 1000 interval
#    delay        cv
  1000 0.266916
   980 0.266987
   960 0.267058
   940 0.26713
   920 0.267201
   900 0.267308
   880 0.26738
   860 0.267487
   840 0.267594
   820 0.267702
   800 0.267845
   780 0.267953
   760 0.268061
   740 0.26824
   720 0.26842
   700 0.268601
   680 0.268745
   660 0.268962
   640 0.269179
   620 0.269397
   600 0.269651
   580 0.269906
   560 0.270161
   540 0.27038
   520 0.270599
   500 0.270709
   480 0.270636
   460 0.270124
   450 0.269687
   440 0.268998
   420 0.266667
   400 0.262295
   400 0.262295
   390 0.259067
   380 0.254939
   380 0.254939
   370 0.249688
   360 0.243279
   360 0.243279
   350 0.235821
   340 0.227687
   330 0.219901
   325 0.216802
   320 0.215239
   319 0.215471
 318.9 0.21554
 318.8 0.215587
 318.7 0.215657
 318.6 0.215726
 318.5 0.215843
 318.4 0.215936
 318.3 0.216053
 318.2 0.216193
 318.1 0.216357
   318 0.216544
 317.9 0.216755
 317.8 0.217037
 317.7 0.217368
 317.6 0.217746
 317.5 0.218269
 317.5 0.218269
317.49 0.218341
317.48 0.218388
317.47 0.21846
317.46 0.218508
317.45 0.218603
317.44 0.218651
317.43 0.218747
317.42 0.218794
317.41 0.218866
 317.4 0.218962
317.39 0.219034
317.38 0.21913
317.37 0.219178
317.36 0.219298
317.35 0.219394
317.34 0.219467
317.33 0.219563
317.32 0.219708
317.31 0.219804
 317.3 0.219949
317.29 0.220022
317.28 0.220167
317.27 0.220289
317.26 0.220434
317.25 0.22058
317.24 0.220726
317.23 0.220897
317.22 0.221068
317.21 0.221239
 317.2 0.221435
317.19 0.221656
317.18 0.221852
317.17 0.222099
317.16 0.22237
317.15 0.222618
317.14 0.222965
317.13 0.223289
317.12 0.223689
317.11 0.224039
 317.1 0.224542
317.09 0.225073
317.08 0.225861
317.07 0.226655
317.06 0.227531
317.05 0.229358
